Internados,Valor serviços hospitalares,Valor serviços profissionais,Valor médio intern,Dias permanência,Óbitos,Valor total
170,152392,37127,1114.83,654,19,189520
1472,1022271,304501,901.34,4530,65,1326772
256,130689,41505,672.63,944,16,172194
5967,2462910,746135,544.05,18793,186,3246318
110,58417,13626,654.95,496,3,72044
170,107390,25095,779.33,565,3,132486
1075,529727,175875,656.37,3965,35,705602
355,157752,46179,574.45,1297,5,203931
123,40752,6746,386.17,473,1,47499
521,217835,69601,551.7,1426,15,287436
1199,644128,236801,734.72,3521,64,880929
65,35728,11715,729.9,221,1,47443
568,190954,42127,410.36,1644,26,233082
43654,95744603,22358425,2705.43,292355,4288,118103029
375,164819,40406,547.27,1336,26,205226
674,534830,123960,977.43,3630,39,658790
652,399332,103058,770.54,2274,27,502390
71,27908,4477,456.14,441,5,32385
8692,8815942,1939177,1237.36,25147,397,10755120
107,57272,17091,694.99,437,7,74363
7427,8667142,2049654,1448.95,31078,382,10761348
267,95616,37655,499.15,820,3,133271
16,5407,1782,449.38,45,,7
1854,575046,133129,381.97,2955,28,708175
42,22663,4110,637.48,183,1,26774
64,33119,8574,651.46,316,1,41693
75,54391,14253,915.26,307,,68644
57,42848,11956,961.49,271,2,54805
319,180033,43167,699.69,1375,18,223200
3369,1141469,410580,460.69,7105,73,1552049
2401,1120491,383758,626.51,8461,72,1504249
731,2695982,494450,4364.48,4501,92,3190432
3571,1518215,671245,632.7,7737,12,2259379
460,172852,84388,559.22,1361,1,257241
91,42483,8286,557.91,392,6,50769
123,40819,8119,397.87,371,,48938
1419,1760201,380507,1508.60,6170,147,2140709
297,238445,52026,978.02,994,17,290471
11,5023,520,504.03,57,,5544
59,24788,4918,503.5,282,4,29706
104,75912,17771,900.81,428,8,93684
5767,14710697,2846030,3044.34,24748,726,17556727
478,243920,80223,678.13,1482,7,324144
19,7437,1404,465.4,48,2,8842
53,27217,5306,613.65,319,3,32523
3413,1094068,555114,483.21,8281,126,1649182
61,20063,55836,385.11,272,,23491
9,1305,315,180.18,12,,1621
3441,2986290,847109,-286989,13262,324,3833406
23,5775,868,288.86,98,,6643
28,7001,1109,289.71,136,2,8111
37,27359,6194,906.87,154,1,33554
178,127579,29486,882.39,1002,30,157065
76,52552,11729,845.82,306,1,64282
210,111633,31786,682.95,705,2,143419
102,65194,15702,793.11,554,19,80897
14,8282,1392,691.03,50,2,9674
726,896499,217606,1534.58,3452,64,1114105
16,4637,698,333.48,57,,5335
32,12498,2194,459.16,156,3,14693
31,20163,4184,785.43,84,,24348
51,32793,7727,794.53,193,2,40521
238,121545,26984,624.08,559,11,148530
587,1118042,216488,2273.48,4304,97,1334530
25,4616,794,216.2,122,,5404
559,311721,108033,750.9,1516,16,419754
2,812,109,460.55,15,,92
30,10106,1819,397.53,118,1,11925
266,119476,29011,558.23,1097,32,148488
173,45298,7301,304.05,361,,52600
2172,2951790,812701,1733.19,9501,97,3764491
432,249399,60610,717.62,2218,21,310010
34,14339,2803,504.2,168,2,17142
119,36154,5280,348.19,538,8,41435
28,17003,3813,743.49,143,,20817
74,27866,3424,422.85,380,,31291
27245,58079683,15164431,2685.39,149973,2086,73244114
97630,185241484,45713667,2309.16,655826,4962,230955151
286,185903,42337,798.05,1569,47,228241
373,140213,59340,535,748,11,199553
9150,11591620,3176336,1613.98,50388,329,14767956
170,100684,23732,731.86,699,4,124416
5195,5681727,1350275,1372.26,20248,538,7128889
23,15060,55842,803.86,68,,18488
81,49114,10926,741.24,290,6,60040
21,8050,1516,455.54,91,2,9566
287,94859,46293,491.82,603,,141153
214,71416,23707,444.51,444,3,95124
71,29310,5465,489.8,227,,34776
5274,3199153,1234466,840.66,19657,113,4433619
61,25337,61783,474.24,367,5,28928
18,4909,783,316.25,79,,5692
1397,2104794,414828,1803.60,7828,197,2519622
2659,2679851,598393,-238501,12846,141,3315787
4529,1567684,1002790,567.56,12056,,2570474
80,54708,12133,835.53,532,9,66842
47,23999,3909,593.79,149,2,27908
147,50677,7782,397.69,642,,58459
753,1949844,345131,3047.78,4464,169,2294975
143,123202,26208,1044.83,616,7,149411
38,24893,4034,761.28,134,3,28928
85,66980,14824,962.41,254,4,81804
31,14646,8969,541.67,127,,16791
81,52635,11273,789,269,,63909
49,32774,7013,812.01,197,,39788
27,11236,2170,496.56,83,1,13407
102,59681,12861,711.21,601,12,72543
1212,443465,212967,828.8,3252,,1004502
61,37487,8521,754.24,255,8,46008
122,59539,15443,614.62,557,3,74983
12,2385,46,237.42,85,1,346
76,24196,60033,365,408,,27739
15,3675,532,280.54,25,,4208
103,30404,8238,375.18,319,1,38643
218,66083,13288,364.09,998,13,79372
115,46592,289506,490.6,708,25,56418
138,70934,13606,612.62,671,10,84541
66,17831,4959,345.32,231,3,22791
939,276591,203620,511.41,2703,,480211
260,93188,51170,555.23,441,,144359
92,62977,12716,822.77,400,3,75694
23,8476,1273,423.92,123,2,9
95,43823,10428,571.08,348,2,54252
156,69205,13584,530.7,799,9,82789
210,82403,13226,455.38,960,13,95629
914,266555,42349,337.97,3309,,308905
607,347368,85907,713.8,1611,6,433276
1493,682967,231158,612.27,5741,113,914125
38,10272,6680,446.14,39,,16953
7852,10623622,2356880,1653.15,36754,758,12980503
45583,65578517,16311866,1726.81,297992,3437,81890383
1108,344564,114713,414.51,2110,35,459277
178,53364,15272,385.6,448,,68637
370,124117,29370,414.83,953,11,153487
383,185435,32952,570.2,1692,41,218387
437,222528,37606,595.27,1835,42,260134
2108,821150,352522,556.77,7015,134,1173673
1510,537122,223293,503.59,3868,29,760416
1399,473492,175037,463.57,3242,25,648530
74048,129854535,30292080,2130.49,497207,5565,160146616
9,3225,1051,475.3,22,,4277
344,168466,33277,586.47,1117,20,201744
3574,3186861,928399,1151.44,14344,404,4115260
55,24108,4567,521.38,141,3,28675
997,354322,141093,496.91,2778,40,495416
9913,11583616,2942198,1465.33,48963,948,14525814
148,51127,246009,403.8,566,9,59762
102,28203,4626,321.86,277,3,32829
256,92138,22784,448.92,1177,12,114922
1119,1591467,306242,1695.90,6228,199,1897710
912,308267,107097,455.44,2175,51,415364
51,13705,2251,312.88,185,2,15956
2068,1541978,470890,973.34,8276,235,2012869
966,359197,170957,548.81,2170,15,530154
1865,664655,290124,511.95,3984,64,954779
363,129771,30713,442.11,1432,28,160485
8249,24256809,4436772,3478.43,54686,1412,28693581
1112,432492,142009,516.64,2781,33,574501
74,28126,5526,454.77,272,,33652
188,81247,14175,507.57,652,10,95422
95,37860,13431,539.92,326,,51292
136,36876,7941,329.55,289,,44818
509,170070,42636,417.89,2164,76,212706
535,222159,62946,532.91,1268,25,285105
1948,775300,213233,507.46,5261,63,988534
101,48147,10101,576.72,381,15,58248
1871,938535,364135,696.24,6238,102,1302670
1087,387246,148822,493.16,2634,43,536069
538,137073,27845,306.54,2398,37,164919
1759,592884,74881,379.63,4692,,667766
289,78917,50764,448.73,710,,129681
7937,8350303,1867428,1287.35,24714,360,10217731
428,181568,45025,529.43,1619,19,226594
1017,711862,177188,842.7,4288,26,889051
864,334193,135803,742.11,2177,8,641186
567,205918,91378,524.33,1738,15,297296
90,45266,11059,625.85,364,2,56326
97,62630,17278,823.8,219,8,79908
212,139152,33269,813.31,1031,14,172422
331,148085,35441,554.46,1050,4,183526
40,16537,99568,529.08,195,2,21163
7427,15497939,3355216,2538.46,36934,405,18853155
8942,10587408,2724176,1488.66,34340,631,13311585
164,85880,18790,638.23,623,3,104670
1679,750239,317548,905.64,4577,54,1520563
15,6734,1910,576.32,40,,8644
232,128831,29528,682.59,990,6,158360
744,391857,120545,688.71,3039,38,512402
129,69360,17325,671.99,611,2,86686
2486,8147653,1859882,4025.56,14405,235,10007536
437,287755,75423,831.07,2649,13,363179
643,285555,74547,564,3246,31,360103
154,122384,29894,988.83,580,14,152279
467,187336,69746,555.99,1497,17,259648
112,64283,16265,719.19,490,1,80548
91,52346,10320,688.65,311,1,62667
81,51305,14437,811.64,372,1,65743
1794,557872,167155,404.14,4753,16,725028
12496,32046253,5816873,3032,72079,1322,37863127
612,249994,86.241,549.4,1974,17,336234
289,67307,15613,286.92,1266,16,82920
528,360488,99077,870.39,2458,10,459565
74,58605,13758,977.9,430,1,72364
1914,558970,348699,474.23,5146,,907677
139,77683,20054,703.15,501,2,97737
57,40253,10986,898.94,196,5,51239
528,274536,89519,689.5,1828,9,364056
251,145908,36644,727.3,1171,8,182552
398,217040,55555,684.91,1329,10,272595
140,40669,12738,381.49,422,2,53408
1185,517665,143047,557.56,6858,28,660713
36589,48839708,10700206,1629.80,220283,2812,59632685
96,48627,11474,626.06,396,2,60102
55,19789,5244,455.16,203,5,25033
131,103285,24381,974.56,650,4,127667
377,208098,62955,718.98,1610,9,271054
10,2993,1153,414.72,22,,4147
88,29208,7901,421.7,351,1,37109
304,130410,50734,595.87,852,2,181145
72,39206,8501,662.61,219,1,47707
405,225975,61674,710.25,1982,17,287649
384,196482,44795,628.33,1611,11,241277
326,141081,30716,526.99,1898,11,171798
403,228853,66005,731.66,1403,11,294858
273,127550,28410,571.29,1303,4,155961
545,399234,98295,912.9,3265,20,497530
80,26250,6078,404.11,164,2,32328
178,92984,15937,611.92,700,7,108921
887,376124,136336,577.75,2146,16,512460
143,117277,29541,1026.71,630,1,146819
67,23185,109302,419.06,181,3,28077
14064,13522385,3357257,1200.20,54999,1163,16879642
182,94513,20421,631.51,1033,14,114934
3126,1371138,447796,581.87,12459,144,1818935
79,30757,5870,463.65,463,,36628
749,537717,133668,896.38,3449,63,671386
294,103482,48241,516.07,554,2,151724
379,141163,42262,483.97,1164,2,183425
75,33640,6281,532.3,339,3,39922
202,1128119,160949,1358.35,23086,5,1289069
49,32400,175295,797.96,175,1,39099
185,81356,37890,644.58,426,,119247
35,10031,1216,321.37,103,1,11248
1907,799325,432919,646.17,4675,3,1232245
195,89917,18864,557.85,1012,2,108781
23,7284,2061,406.34,58,,9345
247,120725,30029,610.34,1129,8,150754
119,58523,14939,617.34,628,4,73463
168,64185,25152,531.77,169,,89337
7,8371,8345,1500.00,44,,10500
26,3669,-133,214.05,84,,5565
20087,34670331,7236267,2048.42,122214,993,41906598
14,4695,1612,450.58,33,1,1610
386,215632,51354,691.68,1992,19,266987
125,45813,12585,467.2,546,6,58399
231,136625,33568,736.77,1100,13,170193
78,51519,12066,815.2,333,,63585
254,132236,34190,655.23,760,1,166427
133,59322,12494,539.98,485,2,71817
84,28924,13847,509.19,250,,42772
83,44344,12677,687.01,668,5,57022
154,65411,19045,548.42,690,6,84456
45,17748,125549,513.02,137,1,23085
332,152644,46214,598.97,996,19,198858
724,516311,137235,902.69,3022,36,653547
3773,8601776,1819221,2761.99,16874,341,10420998
255,75756,38928,449.74,881,6,114684
77,49050,12213,795.63,274,3,61263
294,150658,43105,659.06,984,1,193764
130,54610,271207,491.81,569,2,63935
115,84927,18836,902.29,592,3,103763
3258,5193405,1133358,1941.92,18313,176,6326763
4064,1214347,808848,497.83,9742,18,2023195
9680,24411944,4806041,2966.90,75997,1034,29217985
258,172122,41296,827.2,1284,18,213418
185,98022,31201,698.51,753,4,129223
7355,4521836,1363790,800.22,28073,402,5885627
9564,13124412,3030591,1689.15,47105,737,16155003
58,30097,6394,629.17,312,2,36492
188,93282,22551,616.14,782,9,115834
247,148111,34207,738.13,1202,7,182319
280,190146,46722,845.96,1287,8,236868
156,146452,37195,1177.23,623,6,183647
658,348813,154039,764.21,1803,2,502853
13364,20028282,3326163,1697.95,93455,1246,23365505
141,74568,22592,689.09,596,,97161
1912,998584,305933,682.28,5998,88,1304518
1402,580598,228703,577.25,4315,21,809302
26425,31077379,7733375,1468.71,142888,1368,38810755
65,34032,7664,641.49,217,,41696
243,235976,66528,1244.88,500,9,302505
144,58678,20111,547.15,408,5,78789
294245,596063770,133989568,2471.35,1780587,20166,730053338
191,104141,35490,731.06,346,9,139632
52,24335,5964,582.7,158,2,30300
3,2009,558,855.94,5,1,2567
8,7140,1644,-292649,32,,8784
8821,8152148,2101777,1162.44,30616,429,10253926
280,188949,53598,866.25,1107,2,242548
109,39673,8240,439.58,380,3,47914
290,158798,31541,656.35,2163,4,190340
60,33283,7638,682.04,215,,40922
716,436953,127862,788.85,2811,29,564815
133,70699,16647,656.75,663,6,87347
447,216989,72219,647,1428,16,289208
13,5232,693,455.92,50,1,5926
1056,631574,164571,753.93,4701,51,796145
644,327590,83823,638.84,2677,23,411414
285,131447,39815,600.92,1101,8,171262
170,114212,26909,830.12,811,7,141121
528,178582,68583,468.12,813,,247165
725,356394,119772,656.78,2284,34,476166
1471,2059297,459376,1712.22,6893,107,2518673
81,38093,12332,622.54,210,1,50425
10576,22602684,4336294,2340.28,77127,907,26938979
276,202581,45768,899.82,1481,,248349
564,375427,88277,822.17,2428,12,463705
207,112908,28649,683.85,665,4,141557
54,38893,9356,893.52,179,,48253
1326,1392545,225594,928.37,18711,94,1618140
427,270580,56845,766.8,1962,,327425
90,27816,16140,488.4,198,2,43956
103,43508,16451,582.14,196,1,59959
422,280836,70934,833.58,1634,25,351770
111,59826,17290,694.75,465,,77117
142,91876,19371,783.43,729,4,111247
553,640501,87590,1316.62,9845,9,728092
506,340697,96649,864.32,1372,31,437346
195,88976,19122,554.35,842,,108099
136,82290,18215,739.02,501,3,100506
127,48541,15867,507.16,453,2,64409
265,116868,32111,562.19,623,7,148979
255,141220,36126,695.48,1041,5,177346
77,58333,13832,937.22,308,,72165
686,377923,127.594,736.9,2131,23,505513
67,80163,20368,1500.48,163,5,100532
7241,8279047,2302002,1434.91,38779,262,10581050
131,41524,13659,421.25,628,8,55184
28341,52248360,11651604,2190.61,177332,2301,63899965
195,53915,45865,511.69,192,,99780
828,245919,125790,448.93,1561,,371714
69,19016,12130,451.4,70,,31146
81,21675,14239,443.4,82,,35915
944,765185,209051,-316969,5309,22,974236
503,261690,69299,674.53,2165,1,339287
125,34410.00,21975,451.08,122,,56385
9590,10161708,4177129,1495.19,48094,270,14338837
80,21408,14064,443.4,78,,35472
602,179475,71401,416.74,1604,13,250877
36,9703,3066,354.72,116,,12769
46,12309,8086,443.4,44,,20396
197,55342,26436,415.12,541,2,81778
261,81649,23436,402.63,932,2,105085
88001,134748262,29617026,1776.15,557625,5989,164365288
354,102594,62874,467.43,374,,165468
283,108153,53982,572.92,552,,162136
125,50419,9100,476.16,723,1,59520
247,98445,38192,553.19,624,2,136637
379,42633,36340,208.37,1503,,78974
6226,5526133,1697676,1161.48,18999,230,7231376
1393,466747,109718,413.83,1946,17,576466
17,940502,725,305.92,75,,5200
3147,2014912,706361,864.72,9960,82,2721274
75,20662,13185,451.29,75,,33847
1310,463983,198068,634.16,3334,22,830754
437,174019,39382,488.33,1354,,213401
856,1721262,376544,2450.71,4556,76,2097806
178,177284,44348,1245.13,905,,221632
557,420109,87253,910.88,3552,66,507362
10147,7935072,2822553,1066.78,34045,427,10824574
184,84430,29214,617.63,571,,113644
293,145156,57690,692.31,662,,202847
320,84835,48082,415.37,552,,132918
5545,4823313,1502666,1140.84,19573,149,6325979
891,457943,139979,671.07,3889,15,597923
24,6422,4219,443.4,23,,10641
4714,3088520,1116732,892.08,18546,228,4205252
443,140309,48124,425.36,1337,18,188433
1570,395952,70277,296.96,3143,,466230
60368,105544953,25773267,2153.96,412392,4148,131318220
1291,429015,121785,426.65,3874,42,550800
7724,9922876,2396970,-111397,35255,900,12319847
8964,4297213,1781978,678.18,29889,486,6079192
357,83303,51103,376.49,701,,134407
9173,17787902,3701062,2342.63,51308,890,21488964
1848,737262,268995,544.51,6325,128,1006257
3174,1478415,478459,616.53,10986,358,1956874
2897,1328410,509035,634.26,11618,236,1837446
382,100081,14679,300.42,1296,21,114760
664,390844,80997,710.61,3681,89,471842
273,81176,29095,403.93,881,10,110272
201,53738,19097,362.37,585,10,72836
9481,4573413,1563552,647.29,41794,669,6136965
596,234770,73695,517.56,1461,31,308465
878,354491,90998,507.39,3822,74,445490
172,83584,17326,586.69,989,12,100911
421,173342,43730,515.61,1658,17,217072
112,38401,8025,414.53,353,,46426
343,113081,29047,414.37,1041,,142128
97,52935,11309,662.32,486,18,64244
4143,1232982,492387,416.45,9160,40,1725369
34,10317,1409,344.91,126,2,11727
172,63424,13145,445.18,561,8,76570
597,176751,81200,432.08,1937,26,257951
1079,583869,151449,681.48,3037,17,735318
146,48444,8672,391.21,393,,57117
428,119133,32946,355.33,1272,25,152079
3776,1529800,511155,540.51,12298,121,2040955
1850,674185,226690,486.96,5692,97,900876
673,249435,70962,476.07,2206,44,320397
358,159653,31803,534.8,1225,4,191457
16131,24703719,6139460,4475,90826,1190,30843179
989,470120,51635,527.56,2522,3,521755
26,8590,1290,385,163,2,9881
323,142281,35534,550.51,1221,17,177816
722,378526,100632,663.66,2845,32,479159
582,64476,29387,161.28,2540,41,93863
136,40094,19064,435,506,6,59159
213,65030,18806,393.6,576,5,83836
4818,2151255,753627,602.92,17961,118,2904883
404,132089,31495,404.91,1423,25,163585
273,85783,19959,387.34,756,6,105743
296,155905,45882,681.72,819,15,201788
815,312345,98885,504.58,3164,49,411231
237,82963,14842,412.68,804,3,97806
232,97623,30240,551.14,474,8,127864
240,92045,24492,485.58,767,4,116538
29,9258,29633,412.73,62,,11969
4965,3958798,920341,982.71,19088,302,4879140
632,289547,48729,535.25,1896,,338276
85,39659,9449,577.76,255,,49109
3,4820,1115,1978.72,3,,5936
715,276047,68015,481.21,1988,57,344062
917,302951,135782,478.44,2666,42,438733
707,305321,54757,509.3,2449,23,360078
3252,2776885,720658,1075.51,11641,133,3497543
635,279936,94465,589.61,1925,15,374401
709,363224,79590,624.56,1935,9,442815
2510,1319903,368473,672.66,9906,198,1688377
6451,4470136,1392165,908.74,28304,234,5862302
1750,765295,203118,553.38,4340,13,968413
3650,2432535,797065,884.82,11972,191,3229601
611,225557,58579,465.04,1267,5,284136
654,301940,69704,568.26,2581,41,371645
486,211481,59750,558.09,2251,37,271232
27,7217,1163,310.43,88,4,8381
2856,4138614,707570,1696.84,15728,268,4846185
647,335365,105559,681.49,1748,31,440925
298,107535,22141,435.16,1106,13,129677
1295,420265,97454,399.78,3281,53,517723
377,158111,40673,527.28,1271,15,198784
1609,476901,229767,439.2,4484,38,706669
592,201432,76355,469.24,1729,48,277787
369,144036,52338,532.18,1074,24,196375
618,202735,73073,446.29,2228,35,275808
1016,332430,110025,435.49,2296,39,442456
4080,1248084,363773,395.06,7630,83,1611858
105,61885,14223,724.85,452,,76109
607,246305,78626,535.31,1763,29,324932
606,168948,32796,332.91,2768,49,201745
369,105819,31373,371.8,1422,14,137193
226,63718,22998,383.7,989,18,86716
1536,870511,129669,651.16,4681,,1000181
382,234030,51473,747.39,1319,33,285504
5665,1691812,639547,411.54,15898,136,2331359
371,170630,40541,569.2,1760,39,211171
147,45837,14127,407.92,307,7,59964
572,198858,48252,432.01,2163,37,247111
1387,381933,165832,394.93,2383,3,547766
269,86011,19926,393.82,1169,15,105937
490,150921,41475,392.65,1438,9,192396
1544,810981,205506,658.35,4637,,1016487
386,219085,31269,648.59,1622,,250355
348,93754,35366,371.04,1342,14,129120
2008,1289004,184882,734.01,6175,,1473887
2934,817182,452566,432.77,5483,33,1269748
579,292240,64580,616.27,1588,5,356820
1086,447779,176084,574.46,2465,26,623863
211,90612,21374,530.74,742,16,111986
165,59395,13197,439.96,504,6,72592
521,226883,50825,533.03,2367,28,277708
537,131728,43589,326.48,2099,24,175318
194,61617,7462,356.08,506,6,69080
1300,420454,196061,474.24,4064,65,616516
3756,1174238,400410,419.24,11579,109,1574648
6169,9774767,2150581,12359,27031,489,11925349
42099,56864295,15769196,1699.23,246700,2154,72633492
504,254089,82798,668.43,1127,16,336888
2401,1417704,168054,660.46,7844,,1585758
1152,354610,135942,425.82,2538,56,490550
257,137099,33053,662.08,951,2,170153
143,45277,11114,394.35,443,6,56392
8394,8347660,1922181,1223.47,45790,426,10269841
531,200392,61810,493.79,1478,32,262203
386,127311,42686,440.41,1345,18,169998
757,201702,82942,376.02,1647,25,284644
298,101100,27833,432.66,1263,25,128933
180,56697,17695,413.29,501,10,74392
151,52602,10522,418.05,583,13,63125
1062,464381,111516,542.28,3412,,575898
462,259552,59203,689.95,2056,25,318755
1304,448323,89627,412.54,3687,41,537951
1115,301693,85645,347.39,2410,35,387338
542,222293,64276,528.73,1164,,286570
3205,1163583,513556,523.29,8329,84,1677140
445,207971,61978,606.63,1320,20,269950
407,107844,28194,334.25,1345,,136039
2608,1182093,255569,551.25,7217,20,1437663
19870,34161960,6741606,2058.56,102172,1704,40903567
212,64532,24012,417.66,563,18,88544
88,26807,7105,385.38,275,7,33913
5299,2255079,594890,537.83,18392,243,2849969
409,114530,58980,424.23,956,9,173510
83,34208,261449,521.29,390,13,43266
490,154253,25857,367.57,1528,3,180110
1215,489018,63523,454.77,3541,,552542
3715,1564433,303996,502.94,7262,18,1868429
392,114794,30287,370.11,982,37,145081
8154,9112277,2008245,1363.81,39775,658,11120523
1608,573815,215407,524.69,3711,70,843697
3007,6981789,1485291,2815.79,14489,131,8467081
17367,27663605,6873461,1988.66,94881,1713,34537066
346,105746,29486,390.85,770,,135233
225,66217,22171,392.84,411,15,88388
86,33522,5104,449.15,645,4,38626
258,85957,25798,433.16,876,4,111755
187,71490,20833,493.72,463,,92324
1892,1283033,174636,770.44,5704,,1457670
4227,1645873,700544,555.1,13052,166,2346418
1386,423379,122068,393.54,3620,68,545447
1091,522482,142792,609.79,2680,67,665275
2114,771211,268072,491.62,6725,107,1039284
182,49886,14088,351.51,541,10,63974
3155,2308779,554989,907.69,13332,290,2863768
228,69491,22163,402,553,6,91655
79,26569,5466,405.52,314,6,32036
282,154103,27985,645.7,853,12,182088
707,332355,57045,550.78,2127,28,389401
265,92430,24415,440.93,509,10,116846
1949,856402,171186,527.24,4602,34,1027588
1186,505330,143303,546.91,4169,53,648634
1352,626248,118296,550.7,4145,,744544
330,111309,28707,424.29,1488,38,140017
478,143960,67138,441.63,1095,22,211098
183,65963,27287,509.57,435,5,93250
744,278726,77530,478.84,2244,27,356256
463,183063,41817,485.7,2113,33,224881
7020,4647372,1308831,848.46,23858,518,5956204
1560,395124,125481,333.72,4260,41,520606
676,267332,81367,515.83,2456,31,348709
15015,23666906,4835513,1898.26,95873,1233,28502421
438,148285,61164,478.2,718,26,209457
354,118934,26093,409.68,1294,18,145028
227,114267,23164,605.43,841,5,137431
405,135254,46373,448.46,1202,13,181627
16034,18606696,4002806,1335.94,99583,985,22609503
377,158273,34422,511.13,1270,9,192696
17,5216,975,364.21,68,1,6191
174,79288,16854,552.55,441,21,96143
389,153313,38264,492.49,1540,25,191577
259,122525,24290,566.86,897,10,146815
1017,472109,140437,602.31,3043,27,612546
7595,16474141,3092930,2576.31,55648,593,19567072
93,39676,10370,538.14,323,2,50046
356,105307,26923,371.44,1222,26,132231
2432,958424,311882,522.33,8957,99,1270306
2358,696764,420437,473.79,4019,,1117202
265,94314,21952,438.74,821,20,116266
1232,719289,111596,674.42,5072,46,830885
1590,556184,170711,457.17,5859,80,726895
454,221294,33272,560.72,1240,4,254567
974,316049,82542,409.23,3377,54,398592
622,323122,65815,625.3,2482,22,388938
1004,520389,115081,632.94,4242,85,635470
93,41066,7905,526.58,265,5,48972
1584,507364,224251,461.88,5742,49,731615
193,91722,30377,632.64,753,9,122099
784,301802,90711,500.65,2281,51,392513
3263,1210263,388046,489.83,9379,83,1598310
236,84779,24610,463.52,843,7,109390
1916,688090,224975,476.55,5719,73,913065
390,108126,27056,346.62,1334,31,135183
372,155898,42732,533.96,1128,2,198631
1651,707083,293073,605.79,4429,70,1000157
425,189592,47152,557.05,1419,1,236745
428,120299,35547,364.13,1333,23,155847
617,395834,79402,770.24,1,,475236
616,266014,63038,534.18,2093,55,329053
1296,511143,138674,501.4,3802,102,649818
453,156657,36660,426.75,1382,26,193318
1800,830646,135811,536.92,5622,6,966457
98,45065,8669,548.32,430,11,53735
374,129389,34692,438.72,1305,25,164082
794,399947,109940,642.18,2855,65,509888
1674,845253,132394,584.02,4560,56,977648
558,222883,47579,484.7,2055,27,270463
95,31688,12077,460.69,260,7,43765
322,83381,25576,338.38,935,15,108958
686,281063,84918,533.5,2565,37,365982
2774,987887,430766,511.41,6303,90,1418653
1089,378739,88784,429.31,2736,7,467523
190,55943,19347,396.27,690,14,75290
7683,4108039,1382739,714.67,29341,366,5490778
120,42167,6036,401.7,611,14,48203
587,257022,84419,581.67,1658,21,341439
351,133129,47667,515.09,880,,180796
581,248030,90125,582.02,1832,16,338155
950,424734,104664,557.26,3087,27,529398
130,41592,9807,395.38,662,13,51399
221,61190,15522,347.12,896,23,76712
250,83355,17950,405.23,927,24,101306
545,251186,24465,505.78,1350,,275652
573,198117,52824,437.94,2508,30,250941
1972,584713,193804,394.79,7255,98,778518
1552,394394,133643,340.23,5265,58,528038
557,215708,66183,506.09,1528,19,281892
9281,9456199,2407381,1297.21,41204,501,12039365
119,26259,272766,299.39,376,1,35627
522,131328,38691,325.71,1534,35,170019
346,173336,42675,624.31,1414,18,216012
675,305763,82122,574.65,2163,35,387886
1326,502376,123988,472.37,2692,,626365
470,138918,46028,393.5,1354,,184946
363,108855,31955,387.91,1087,28,140810
739,3079635,565543,4932.58,3822,115,3645178
241,89271,34907,515.27,649,14,124179
466,220137,50540,580.85,1408,,270678
2185,900512,324727,560.75,6159,40,1225245
1086,571275,170029,682.6,4102,59,741305
85,26559,8077,407.49,230,3,34636
5307,2794778,894616,695.19,21575,302,3689394
260,72279,17709,346.11,837,18,89989
481,214857,32136,513.5,1052,19,246993
1026,286296,90983,367.72,4174,37,377279
4840,1355426,496644,382.66,7904,91,1852071
182,66229,18852,467.48,450,10,85082
234017,531375837,112656378,2702.47,1588501,14226,644032216
87,26102,5949,368.41,264,6,32051
269,130450,22547,568.77,849,7,152998
1469,603176,193095,542.05,4767,91,796271
988,348325,102791,456.6,4560,50,451117
250,72273,21167,373.76,629,8,93440
2556,985567,238662,478.96,7225,74,1224239
865,310483,83655,455.65,2677,40,394139
61,28683,7047,585.75,176,10,35730
14537,12751650,2856883,1073.71,57826,852,15608534
672,278549,80807,534.76,2663,70,359357
1308,584197,219095,614.14,5108,3,803293
134,47920,7601,414.34,464,9,55522
233,148457,30769,769.21,1085,34,179226
2925,2108331,572176,920.46,8466,140,2692346
771,324400,89555,536.91,1969,32,413955
1117,403845,166702,510.79,4485,63,570548
345,177586,43635,641.22,1316,23,221221
127,62181,11766,582.27,602,13,73947
1897,1204327,177520,728.44,5797,1,1381848
873,401170,104026,578.69,3919,104,505196
432,189565,48781,551.73,974,24,238346
257,86946,25304,436.77,967,16,112250
3,4820,1115,1978.72,3,,5936
508,267043,45658,615.56,2089,20,312702
3341,4289403,886030,-128017,17220,390,5175434
159,66324,19273,538.35,547,8,85598
2820,2757885,760815,1247.77,8656,119,3518700
464,175479,44123,473.28,1376,32,219603
210,79358,17303,460.3,307,,96662
877,349414,105065,518.22,2207,8,454479
161,67485,15963,518.31,553,25,83448
2498,1403438,513705,767.47,9205,124,1917144
302,113594,30621,477.54,1070,9,144215
3556,1204900,439502,462.43,13636,233,1644402
185,63881,12544,413.11,280,,76425
360,175201,48326,620.91,1555,27,223527
500,178782,39699,436.96,1971,15,218481
440,127018,26089,347.97,816,,153108
517,215734,57071,527.67,1318,32,272806
46,25937,6430,703.64,143,2,32367
273,92875,19141,410.32,900,5,112016
790,244102,68342,395.5,2199,15,312445
13696,16628635,4008255,1506.78,52609,724,20636891
218,130006,46824,811.15,781,14,176831
373,158348,31357,508.59,902,2,189705
237,72624,16130,374.49,864,11,88755
750,213879,59279,364.21,3078,29,273159
604,313208,75269,643.18,2149,46,388478
740,272416,70741,463.73,1940,47,343158
1864,876968,126115,538.14,4555,19,1003084
324,162248,38091,618.33,1151,25,200339
