Internados,Valor serviços hospitalares,Valor serviços profissionais,Valor médio intern,Dias permanência,Óbitos,Valor total
973,438229,136674,590.86,3464,,574904
8489,6123743,1765370,929.33,39127,311,7889110
1626,627749,107119,475.51,5350,10,773175
1043,318380,88524,390.13,2697,1,406905
5872,2115885,935458,519.64,16743,102,3051344
2018,901288,316851,603.64,8283,47,1218140
3988,2628251,839941,869.66,12289,24,3468192
1959,1038734,294384,680.51,6280,,1333118
21397,13639577,4457430,849.29,73802,906,18172203
160,42854,10900,335.97,321,,53754
4561,2150240,495031,579.98,15065,53,2645272
823,282879,108257,475.26,2877,10,391137
705,203642,50590,360.61,2397,4,254232
1349,529205,119714,481.04,2525,26,648919
1337,567785,171302,552.8,3559,23,739088
780,469093,91643,718.89,2965,54,560737
1951,817668,286106,565.75,4800,71,1103774
755,332351,77780,543.22,2133,,410132
390,122827,39948,417.37,1068,3,162775
1548,706746,161772,561.06,3463,10,868518
510,240607,75420,619.66,1766,6,316028
776,261934,80832,441.71,3076,,342766
2109,662018,203995,410.63,4991,26,866014
924,525170,117542,695.58,4199,78,642712
7740,2142258,668973,363.21,19705,64,2811231
38,16343,2340,491.69,197,3,18684
2917,1520074,477054,684.65,9598,26,1997129
282,128181,27576,552.33,869,1,155758
4708,3311825,990888,913.92,18816,588,4302713
1389,805895,243283,755.35,4335,46,1049178
246,70320,25067,387.76,492,12,95388
1848,814439,245299,598.88,5222,15,1106728
2311,997779,353769,584.83,6109,28,1351548
1115,519718,96918,553.04,3467,5,616636
1640,658678,205.066,526.67,4432,15,863738
17683,14862277,3952911,1082.71,83627,1177,19145603
545,223463,72783,543.57,2008,23,296246
105,37842,7211,429.08,214,1,45053
6736,4211934,1529833,852.4,25461,131,5741767
1089,388854,145203,490.41,2736,3,534057
911,256218,73433,361.86,2445,2,329651
1869,955084,303830,673.58,6617,1,1258915
1806,609752,221772,466.93,5092,26,843269
2869,1031782,374919,490.31,7610,102,1406702
1666,490552,186306,406.28,3868,25,676858
596,204104,60436,443.86,1669,1,264541
136,81186,19697,741.79,513,,100883
1910,702480,222452,484.26,4088,61,924932
1393,552464,183968,528.67,5086,35,736432
2112,669371,233018,427.27,9309,101,902390
1250,582718,155665,590.71,3624,17,738383
4163,1945478,645863,622.47,14712,162,2591342
875,503116,147302,743.34,2868,27,650418
3728,1385468,333785,461.17,10703,17,1719253
1594,664954,202757,544.36,4169,13,867712
444,177462,36638,482.21,1231,7,214100
7786,6077948,1724405,-327713,38209,422,7802354
9758,6017636,2188281,841.47,44091,437,8211048
316,202734,48393,794.71,1013,2,251127
671,160281,34200,289.84,1462,,194482
1244,224156,79531,244.12,2467,9,303688
757,324410,76289,529.33,1865,,400700
1836,658683,266503,503.91,4026,2,925186
2337,688002,209867,384.2,5594,5,897870
1092,547489,179719,687.01,3406,15,750211
9752,10788615,2424356,1365.83,48266,761,13319532
1400,679495,207548,633.6,4646,24,887044
3384,1045714,291248,395.08,8581,28,1336962
1450,566283,187652,526.82,3724,2,763890
2503,941794,341560,512.73,8027,79,1283354
477,165981,50415,453.66,1039,10,216397
455,120034,21368,310.77,1494,,141402
1159,518928,113284,545.48,7428,41,632213
632,159742,44080,322.51,1356,,203823
570,177094,38085,377.51,1654,11,215180
2965,1241261,372511,573.37,8635,,1700032
23128,26561104,5968516,1408.66,134857,1726,32579436
3530,1128065,294.262,402.93,10922,9,1422325
310,146695,31991,576.41,1082,,178687
972,390866,75826,480.14,4202,5,466693
4793,1787644,461013,480.79,14346,52,2304438
757,278140,67990,459.75,2677,22,348033
675,317181,72137,576.77,2103,18,389318
174,75440,14816,518.71,540,,90256
1459,611961,194605,552.82,4853,47,806567
1211,396171,129146,433.79,2814,,525318
325,94557,20055,352.66,900,9,114613
673,153853,43149,292.72,1542,2,197003
1696,480400,140494,366.09,3266,44,620895
4283,1290146,547235,428.99,14187,152,1837382
1009,540262,146754,680.89,3687,32,687017
3379,1102530,389658,441.61,8685,31,1492189
797,317950,55706,468.83,2232,,373657
1165,443316,123750,486.75,2719,15,567067
3794,2071793,466747,669.09,11618,61,2538541
3257,1666532,731453,736.26,12227,40,2397986
2165,917844,225568,528.14,5590,21,1143413
2902,1178185,352500,527.46,9978,55,1530685
1309,585448,142984,556.48,5877,48,728432
2370,857502,257951,470.66,6924,36,1115454
1472,741536,258901,679.65,5956,16,1000438
2871,1433349,435772,660.17,8301,46,1895337
232,68107,27144,410.57,741,2,95252
220,59456,17701,350.72,420,,77158
4976,2077485,694509,557.07,17102,276,2771994
29174,27265188,8246669,1217.24,173991,1526,35511857
81,19400,6315,317.48,249,,25715
1942,884381,262321,590.47,5867,37,1146702
159,62565,25095,551.33,431,2,87660
128,29815,9331,305.84,244,,39147
2792,1142574,482804,582.16,11271,115,1625378
22,5798,1.540,333.57,52,,7338
127,34924,16668,406.24,172,,51592
442,217888,59081,626.63,1478,10,276977
48,14154,2956,356.48,352,1,17111
245,100646,21314,497.8,388,,121961
390,183676,41881,578.35,1291,7,225557
21801,33369098,8140258,1462,138533,1211,41509356
395,251584,55153,776.55,798,,306737
475,235317,52176,605.25,1553,15,287493
624,225643,56944,452.86,2147,19,282587
3603,1862535,610937,686.5,13852,239,2473473
16,5355,522,367.06,35,,5872
1199,963500,219710,986.83,3802,74,1183211
109,30472,4166,317.79,314,,34639
759,356565,111984,617.33,1781,34,468549
164,138601,27816,1014.74,960,,166417
167,127029,29004,934.33,607,5,156033
85,45576,10548,660.3,387,,56125
1882,926921,342041,674.26,5078,69,1268963
7289,6302285,1686127,1095.95,34475,390,7988412
60,18499,5271,396.18,172,1,23770
108,31722,4358,334.08,326,,36080
2857,2532106,420970,1033.63,10931,92,2953077
59,24448,72939,480.43,198,,28345
28512,38818367,9860191,1707.30,178245,1758,48678559
14,7556,923,605.72,56,,2403
3161,1515913,508047,640.29,11545,109,2023960
331,114321,37982,460.13,833,5,152304
991,491461,147721,644.99,3158,29,639182
230,112823,31876,629.13,610,3,144699
104,32475,6476,374.55,201,2,38952
50,30465,234665,775.8,76,,38789
6071,2821606,924051,616.98,24779,192,3745658
33,16256,3535,599.78,150,,19792
474,225953,68135,620.44,1212,10,294089
1038,512686,161924,649.91,2486,,674610
824,491697,113068,733.94,2799,36,604765
7248,4181387,1312658,758.01,28291,316,5494045
707,273679,30684,430.5,2646,,304363
357,115857,27393,401.26,903,2,143250
391,131907,25276,402.01,1100,,157184
2699,1130041,628884,651.7,5489,21,1758925
1971,723075,200198,468.43,4233,8,923273
8,2586,467,381.81,31,,3054
2712,979930,342318,487.55,6626,14,1322248
87,23765,5728,339.02,184,,29494
889,391929,119515,575.3,2881,4,511444
1166,342389,73065,356.31,2694,,415454
84,36645,12626,586.58,172,1,49272
1524,504983,158019,435.04,2570,3,663003
641,211339,70678,439.97,1549,1,282018
81,22202,9201,387.71,138,,31404
10282,9041523,2244194,1097.62,41453,652,11285718
696,213007,45085,370.82,1441,3,258092
9318,8341381,2175454,1128.66,37929,402,10516835
349,138681,27955,477.47,1512,1,166637
3618,1429453,649419,574.59,9491,15,2078873
4460,2179372,747281,656.2,19925,159,2926653
492,144340,23986,342.13,1014,,168327
747,274193,69686,460.35,1931,,343880
171,108965,26842,794.2,448,1,135807
1427,636281,199579,585.74,4339,3,835851
1039,528933,154557,657.84,2124,15,683490
697,271647,108162,544.92,1538,6,379810
1766,761344,168171,526.34,3993,,929516
3242,1058660,459168,468.18,5864,,1517828
447,134345,59031,432.61,1083,3,193377
227,69775,30618,442.27,456,,100394
89,22092,251162,346.83,141,,30868
805,258160,65762,402.39,1769,4,323923
1525,679495,180446,563.9,4746,,859942
2127,963347,374027,628.76,6743,37,1337374
14386,17643178,4399949,1532.26,78906,1158,22043128
585,147307,35536,312.55,1154,,182843
449,108155,22029,289.94,922,,130185
5231,3605248,1152935,909.61,14114,174,4758183
879,272644,53264,370.77,1640,,325908
4986,2124611,823399,591.26,21994,283,2948011
2123,649066,368806,479.45,5012,39,1017873
5743,2183432,1007183,555.57,12963,55,3190616
538,122124,23904,271.43,1852,,146028
4613,7593925,1508008,26969,23398,377,9101934
5038,1741155,565257,457.8,15848,121,2306412
787,336115,90868,542.55,1888,,426983
1222,582914,132594,585.52,2816,,715509
1774,769900,195511,544.2,4482,10,965412
728,403853,95268,685.61,2866,2,499122
208,90328,19914,532,478,,110243
590,261061,53671,533.44,1646,,314732
855,221158,44363,310.55,3166,1,265521
833,380042,87626,561.43,2235,1,467669
1367,416844,84643,366.85,3022,5,501488
543,159163,30247,348.82,1254,,189411
178,41195,6835,269.83,346,,48030
510,250064,71083,629.7,1507,,321147
288,93212,17130,383.14,867,,110343
483,284293,61789,716.53,1208,,346082
4815,1638435,701069,485.88,10132,81,2339504
145,69662,14.471,580.22,308,,84132
6332,3142437,1054625,662.83,19256,141,4197062
926,206530,36775,262.75,2118,,243306
795,228113,58742,360.83,1954,,286856
499,141783,49409,383.15,1111,3,191193
422,203444,43815,585.92,1531,6,247259
689,435335,125979,814.68,2162,2,561314
29843,37583498,9316463,1571.56,169986,2558,46899962
